Date,Hour,Street,Average
14/2/2017,13,Flinders St-Swanston St (West),4477
14/2/2017,14,Flinders St-Swanston St (West),4181
14/2/2017,15,Flinders St-Swanston St (West),4744
14/2/2017,16,Flinders St-Swanston St (West),5410
14/2/2017,17,Flinders St-Swanston St (West),6563
14/2/2017,18,Flinders St-Swanston St (West),5706
14/2/2017,19,Flinders St-Swanston St (West),3882
14/2/2017,20,Southbank,2961
14/2/2017,21,Flinders St-Swanston St (West),2516
15/2/2017,10,Flinders St-Swanston St (West),2661
15/2/2017,11,Flinders St-Swanston St (West),2817
15/2/2017,12,Flinders St-Swanston St (West),3924
15/2/2017,13,Flinders St-Swanston St (West),4450
15/2/2017,14,Flinders St-Swanston St (West),4070
15/2/2017,15,Flinders St-Swanston St (West),4523
15/2/2017,16,Flinders St-Swanston St (West),4793
15/2/2017,17,Flinders St-Swanston St (West),5386
15/2/2017,18,Flinders St-Swanston St (West),4351
15/2/2017,19,Flinders St-Swanston St (West),3246
15/2/2017,20,Flinders St-Swanston St (West),2739
15/2/2017,21,Princes Bridge,2613
16/2/2017,10,Flinders St-Swanston St (West),2372
16/2/2017,11,Flinders St-Swanston St (West),2654
16/2/2017,12,Southbank,3509
16/2/2017,13,Flinders St-Swanston St (West),4100
16/2/2017,14,Flinders St-Swanston St (West),4019
16/2/2017,15,Flinders St-Swanston St (West),4351
16/2/2017,16,Flinders St-Swanston St (West),4808
16/2/2017,17,Flinders St-Swanston St (West),5682
16/2/2017,18,Flinders St-Swanston St (West),4576
16/2/2017,19,Flinders St-Swanston St (West),3226
16/2/2017,20,Flinders St-Swanston St (West),2675
16/2/2017,21,Flinders St-Swanston St (West),2390
17/2/2017,10,Spencer St-Collins St (North),1727
17/2/2017,11,Bourke Street Mall (North),2002
17/2/2017,12,Southbank,3790
17/2/2017,13,Bourke Street Mall (North),3832
17/2/2017,14,Bourke Street Mall (North),3160
17/2/2017,15,Bourke Street Mall (North),3365
17/2/2017,16,Flinders St Station Underpass,3527
17/2/2017,17,Flinders St Station Underpass,5105
17/2/2017,18,Southbank,4186
17/2/2017,19,Southbank,3558
17/2/2017,20,Southbank,3079
17/2/2017,21,Southbank,2916
18/2/2017,10,Southbank,1549
18/2/2017,11,Bourke Street Mall (North),2270
18/2/2017,12,Bourke Street Mall (North),2825
18/2/2017,13,Bourke Street Mall (North),3133
18/2/2017,14,Bourke Street Mall (North),3448
18/2/2017,15,Bourke Street Mall (North),3659
18/2/2017,16,Princes Bridge,3559
18/2/2017,17,Princes Bridge,3814
18/2/2017,18,Southbank,4126
18/2/2017,19,Southbank,4892
18/2/2017,20,Southbank,5344
18/2/2017,21,Southbank,6555
19/2/2017,10,Flinders St Station Underpass,1028
19/2/2017,11,Bourke Street Mall (North),1683
19/2/2017,12,Bourke Street Mall (North),1892
19/2/2017,13,Bourke Street Mall (North),2332
19/2/2017,14,Bourke Street Mall (North),2633
19/2/2017,15,Bourke Street Mall (North),2691
19/2/2017,16,Bourke Street Mall (North),2317
19/2/2017,17,Bourke Street Mall (North),2346
19/2/2017,18,Melbourne Central,1966
19/2/2017,19,Melbourne Central,1711
19/2/2017,20,Melbourne Central,1529
19/2/2017,21,Melbourne Central,1311
20/2/2017,10,Spencer St-Collins St (North),1717
20/2/2017,11,Bourke Street Mall (North),1883
20/2/2017,12,Bourke Street Mall (North),3147
20/2/2017,13,Bourke Street Mall (North),3470
20/2/2017,14,Bourke Street Mall (North),2928
20/2/2017,15,Bourke Street Mall (North),3012
20/2/2017,16,Spencer St-Collins St (North),3474
20/2/2017,17,Flinders St Station Underpass,4948
20/2/2017,18,Southbank,3155
20/2/2017,19,Southbank,2284
20/2/2017,20,Melbourne Central,2000
20/2/2017,21,Melbourne Central,1474
21/2/2017,10,Spencer St-Collins St (North),1638
21/2/2017,11,Bourke Street Mall (North),1929
21/2/2017,12,Southbank,3542
21/2/2017,13,Southbank,3622
21/2/2017,14,Bourke Street Mall (North),3015
21/2/2017,15,Bourke Street Mall (North),3133
21/2/2017,16,Spencer St-Collins St (North),3513
21/2/2017,17,Flinders St Station Underpass,5373
21/2/2017,18,Southbank,3502
21/2/2017,19,Southbank,2516
21/2/2017,20,Melbourne Central,2381
21/2/2017,21,Southbank,1771
22/2/2017,10,Spencer St-Collins St (North),1861
22/2/2017,11,Bourke Street Mall (North),2350
22/2/2017,12,Bourke Street Mall (North),3416
22/2/2017,13,Bourke Street Mall (North),3886
22/2/2017,14,Bourke Street Mall (North),3097
22/2/2017,15,Bourke Street Mall (North),3282
22/2/2017,16,Spencer St-Collins St (North),3625
22/2/2017,17,Flinders St Station Underpass,5295
22/2/2017,18,Flinders St Station Underpass,3420
22/2/2017,19,Southbank,2419
22/2/2017,20,Melbourne Central,2349
22/2/2017,21,Southbank,2029
23/2/2017,10,Spencer St-Collins St (North),1792
23/2/2017,11,Bourke Street Mall (North),1896
23/2/2017,12,Southbank,3407
23/2/2017,13,Bourke Street Mall (North),3856
23/2/2017,14,Bourke Street Mall (North),3090
23/2/2017,15,Bourke Street Mall (North),3339
23/2/2017,16,Spencer St-Collins St (North),3777
23/2/2017,17,Flinders St Station Underpass,5395
23/2/2017,18,Southbank,3639
23/2/2017,19,Southbank,2876
23/2/2017,20,Melbourne Central,2098
23/2/2017,21,Southbank,2127
24/2/2017,10,Spencer St-Collins St (North),1708
24/2/2017,11,Bourke Street Mall (North),1927
24/2/2017,12,Southbank,3379
24/2/2017,13,Bourke Street Mall (North),3490
24/2/2017,14,Bourke Street Mall (North),2887
24/2/2017,15,Bourke Street Mall (South),2852
