date,street,average
12/21/2017,Grattan St-Swanston St (West),145.83
12/22/2017,Flinders St-Spark Lane,124.83
12/23/2017,Waterfront City,58.92
12/24/2017,Collins Place (North),65.04
12/25/2017,Collins Place (North),45.54
12/26/2017,Waterfront City,67.29
12/27/2017,Victoria Point,116.50
12/28/2017,Flinders St-Spark Lane,92.00
12/29/2017,Flinders St-Spark Lane,93.58
12/30/2017,Flinders St-Spark Lane,80.50
12/31/2017,Collins Place (North),108.88
